This program will make the robot wander around. It uses some avoidance
actions if obstacles are detected, otherwise it just has a
constant forward velocity.

Press CTRL-C or Escape to exit.
Could not connect to simulator, connecting to robot through serial port /dev/ttyUSB0.
Syncing 0
Syncing 1
Syncing 2
Connected to robot.
Name: Minnesota_1861
Type: Pioneer
Subtype: p3dx
ArConfig: Config version: 2.0
Loaded robot parameters from /usr/local/Aria/params/p3dx.p
ArLaserConnector: There is a port given, but no port type given so using the robot parameters port type
ArLaserConnector: Set serial port to open /dev/ttyUSB1
laser: waiting for laser to power on.
laser: Connected to the laser.
Point: 908.247 890.247
Point: 932.281 882.911
Point: 949.745 868.866
Point: 978.143 864.517
Point: 989.311 844.348
Point: 1026.11 845.908
Point: 1050.83 836.367
Point: 1073.15 824.371
Point: 1095.36 811.848
Point: 1115.84 797.625
Point: 1145.15 789.241
Point: 1175.34 780.633
Point: 1205.56 771.209
Point: 1236.65 761.494
Point: 1258.32 745.26
Point: 1295.39 737.5
Point: 1323.81 723.821
Point: 1354.78 710.78
Point: 1382.13 695.059
Point: 1412.03 679.914
Point: 1452.69 669.005
Point: 1489.72 655.253
Point: 1522.1 638.455
Point: 1558.05 622.222
Point: 1607.89 610.301
Point: 1645.55 592.379
Point: 1683.06 573.326
Point: 1733.71 557.467
Point: 1778.56 538.256
Point: 1823.25 517.647
Point: 1880.3 499.003
Point: 1926.57 475.86
Point: 1982.33 453.501
Point: 2040.81 429.961
Point: 2096.1 403.943
Point: 2161.93 378.032
Point: 2237.34 351.508
Point: 2310.47 322.186
Point: 2379.27 289.927
Point: 2464.52 257.14
Point: 2546.34 221.201
Point: 2646.58 183.808
Point: 2746.26 142.982
Point: 2855.27 99.0797
Point: 2977.55 51.6591
Point: 3099 0
Point: 3235.51 -56.1618
Point: 3397.94 -118.03
Point: 3559.14 -185.583
Point: 3748.89 -260.889
Point: 3947.99 -343.829
Point: 4180.07 -437.452
Point: 4456.67 -545
Point: 4776.24 -668.727
Point: 5118.42 -807.828
Point: 5538.83 -973.472
Point: 5922.49 -1147.72
Point: 6833.73 -1448.73
Point: 7296.54 -1680.38
Point: 6759.62 -4050.77
Point: 6034.9 -3759.78
Point: 5455.94 -3531.44
Point: 4970.67 -3340.62
Point: 4558.56 -3179.33
Point: 4188.48 -3030.03
Point: 3863.43 -2897.74
Point: 3571.93 -2776.63
Point: 3319.32 -2673.35
Point: 3098.26 -2584.65
Point: 2903.25 -2508.11
Point: 2732.71 -2444.33
Point: 2570.42 -2380.17
Point: 2425.63 -2325.02
Point: 2284.28 -2266.28
Point: 2161.72 -2219.88
Point: 2045.58 -2174.31
Point: 1935.06 -2129.11
Point: 1832.66 -2087.53
Point: 1738.1 -2049.93
Point: 1654.86 -2021.36
Point: 1570.7 -1987.36
Point: 1491.24 -1955.06
Point: 1416.93 -1925.46
Point: 1350.42 -1902.89
Point: 1284.57 -1877.77
Point: 1218.93 -1849.27
Point: 1159.45 -1826.7
Point: 1101.64 -1803.48
Point: 1044 -1777.08
Point: 992.952 -1758.86
Point: 943.328 -1740.29
Point: 895.11 -1721.42
Point: 852.22 -1710.41
Point: 805.338 -1688.45
Point: 759.481 -1665.39
Point: 719.362 -1652.31
Point: 678.806 -1635.55
Point: 638.693 -1616.96
Point: 604.223 -1610.63
Point: 565.931 -1591.31
Point: 530.659 -1577.8
Point: 494.566 -1558.78
Point: 461.776 -1547.63
Point: 429.522 -1535.82
Point: 398.785 -1527.25
Point: 366.899 -1511.25
Point: 338.184 -1506.35
Point: 308.03 -1492.07
Point: 279.341 -1482.14
Point: 251.713 -1475.61
Point: 223.559 -1462.63
Point: 196.051 -1450.11
Point: 169.148 -1438.08
Point: 143.156 -1430.54
Point: 116.845 -1413.55
Point: 91.7937 -1408.07
Point: 66.7895 -1397.15
Point: 42.2937 -1391.79
Point: 18 -1375
Segment: 2546.34 221.201 18 1239 1.1787 1159.23 86
Segment: 1832.66 -2087.53 18 -1375 -1.94547 1270.11 42

12182
Line: 1.17816 1159.85
Line: -1.94874 1266.16
Point: 18 1244
Point: 39.3792 1224.81
Point: 60.717 1223.25
Point: 81.9545 1220.33
Point: 103.382 1221.02
Point: 123.284 1203.4
Point: 143.434 1193.43
Point: 164.487 1193.04
Point: 184.312 1183.37
Point: 204.313 1176.34
Point: 223.252 1164.04
Point: 243.536 1160.28
Point: 261.88 1147.37
Point: 282.317 1144.88
Point: 302.5 1141.07
Point: 319.783 1126.27
Point: 339.393 1120.83
Point: 359.198 1116.01
Point: 378.623 1109.88
Point: 395.008 1094.91
Point: 414.401 1089.1
Point: 432.632 1080.15
Point: 451.794 1073.68
Point: 470.857 1066.87
Point: 489.408 1058.8
Point: 507.815 1050.41
Point: 526.072 1041.7
Point: 544.175 1032.68
Point: 566.812 1032.17
Point: 584.258 1021.56
Point: 601 1009.79
Point: 624.715 1009.74
Point: 641.715 998.153
Point: 659.04 987.115
Point: 679.525 980.751
Point: 698.835 972.333
Point: 717.464 962.73
Point: 735.364 951.974
Point: 758.641 947.977
Point: 780.107 941.124
Point: 796.416 927.68
Point: 819.704 922.255
Point: 841.7 914.811
Point: 863.678 906.879
Point: 878.682 891.262
Point: 908.247 890.247
Point: 925.087 875.964
Point: 948.282 867.502
Point: 976.657 863.178
Point: 994.594 848.94
Point: 1020.75 841.409
Point: 1045.39 831.962
Point: 1073.15 824.371
Point: 1099.35 814.858
Point: 1116.65 798.212
Point: 1146.79 790.388
Point: 1174.51 780.074
Point: 1204.72 770.664
Point: 1229.01 756.725
Point: 1255.75 743.715
Point: 1285 731.5
Point: 1314.19 718.488
Point: 1354.78 710.78
Point: 1391.04 699.599
Point: 1421.92 684.736
Point: 1454.5 669.85
Point: 1488.81 654.846
Point: 1520.26 637.673
Point: 1557.13 621.847
Point: 1605.09 609.226
Point: 1645.55 592.379
Point: 1683.06 573.326
Point: 1729.9 556.231
Point: 1778.56 538.256
Point: 1824.21 517.923
Point: 1870.65 496.415
Point: 1925.6 475.618
Point: 1982.33 453.501
Point: 2041.79 430.169
Point: 2096.1 403.943
Point: 2160.94 377.858
Point: 2229.43 350.257
Point: 2310.47 322.186
Point: 2379.27 289.927
Point: 2464.52 257.14
Point: 2546.34 221.201
Point: 2645.58 183.739
Point: 2744.26 142.877
Point: 2855.27 99.0797
Point: 2977.55 51.6591
Point: 3099 0
Point: 3233.51 -56.1269
Point: 3396.94 -117.995
Point: 3559.14 -185.583
Point: 3748.89 -260.889
Point: 3943.01 -343.394
Point: 4189.02 -438.392
Point: 4455.67 -544.878
Point: 4775.25 -668.588
Point: 5129.29 -809.548
Point: 5541.79 -973.993
Point: 5919.54 -1147.14
Point: 6834.71 -1448.94
Point: 7299.47 -1681.06
Point: 6738.19 -4037.9
Point: 6027.27 -3755.01
Point: 5458.46 -3533.07
Point: 4973.99 -3342.86
Point: 4552.83 -3175.32
Point: 4180.39 -3024.16
Point: 3862.63 -2897.14
Point: 3571.93 -2776.63
Point: 3324.76 -2677.76
Point: 3098.26 -2584.65
Point: 2903.25 -2508.11
Point: 2724.53 -2436.97
Point: 2563.11 -2373.35
Point: 2425.63 -2325.02
Point: 2284.98 -2266.98
Point: 2161.02 -2219.16
Point: 2044.22 -2172.85
Point: 1933.05 -2126.88
Point: 1833.32 -2088.28
Point: 1738.74 -2050.7
Point: 1654.23 -2020.58
Point: 1564.54 -1979.48
Point: 1491.84 -1955.86
Point: 1416.93 -1925.46
Point: 1350.42 -1902.89
Point: 1278.42 -1868.65
Point: 1218.93 -1849.27
Point: 1154.15 -1818.22
Point: 1101.64 -1803.48
Point: 1050 -1787.48
Point: 997.8 -1767.61
Point: 942.859 -1739.41
Point: 896.018 -1723.21
Point: 847.837 -1701.42
Point: 805.338 -1688.45
Point: 759.481 -1665.39
Point: 718.19 -1649.54
